Name_ZhT;Name_Py;Province_Py;Province_ZhT;LAT;LONG;Name_Full;Level;Year;LocID;NameID;ID;FID;Provider;
長壽;Changshou;Sichuan;四川;29.8420339603443;107.050064039656;長壽縣;縣;1931;DH046373-1;DH162902-1;167;s1770;ENP-China Project: https://www.enpchina.eu/;
常熟;Changshu;Jiangsu;江蘇;31.646582;120.72452686437;常熟縣;縣;1931;DH051033-1;DH167562-1;2354;s1201;ENP-China Project: https://www.enpchina.eu/;
長泰;Changtai;Fujian;福建;24.5985872554979;117.80199694958;長泰縣;縣;1931;DH021317-1;DH196110-1;2522;s1399;ENP-China Project: https://www.enpchina.eu/;
長汀;Changting;Fujian;福建;25.751284208117;116.333121441623;長汀縣;縣;1931;D3127088;N0400200;2518;s59;ENP-China Project: https://www.enpchina.eu/;
昌圖;Changtu;Liaoning;遼寧;42.7955487427154;124.005005868444;昌圖縣;縣;1931;D3326717;N0335701;1287;s375;ENP-China Project: https://www.enpchina.eu/;
長武;Changwu;Shaanxi;陝西;35.153131300696;107.669759258734;長武縣;縣;1931;D3104140;N0400188;356;s1044;ENP-China Project: https://www.enpchina.eu/;
長興;Changxing;Zhejiang;浙江;31.0168669626614;119.920210096856;長興縣;縣;1931;D2984179;N0399607;2414;s1061;ENP-China Project: https://www.enpchina.eu/;
長陽;Changyang;Hubei;湖北;30.5003795249302;111.176548557183;長陽縣;縣;1931;DH048356-1;DH048356-1;1178;s580;ENP-China Project: https://www.enpchina.eu/;
昌邑;Changyi;Shandong;山東;36.8663433743852;119.412180570726;昌邑縣;縣;1931;D3086649;N0335789;2291;s1699;ENP-China Project: https://www.enpchina.eu/;
長垣;Changyuan;Hebei;河北;35.1712843914172;114.683368657347;長垣縣;縣;1931;D3072396;N0399771;1446;s421;ENP-China Project: https://www.enpchina.eu/;
長寨;Changzhai;Guizhou;貴州;25.9560969603401;106.520944978258;長寨縣;縣;1931;11703898;N0415666;474;s1388;ENP-China Project: https://www.enpchina.eu/;
長治;Changzhi;Shanxi;山西;36.0908758755186;113.230520412595;長治縣;縣;1931;D3021665;N0400282;154;s1856;ENP-China Project: https://www.enpchina.eu/;
長子;Changzi;Shanxi;山西;36.0496663673525;112.897220243424;長子縣;縣;1931;D3314792;N0399848;641;s1017;ENP-China Project: https://www.enpchina.eu/;
潮安;Chao'an;Guangdong;廣東;23.6921069492475;116.617137240602;潮安縣;縣;1931;D3295360;N0359602;2179;s1817;ENP-China Project: https://www.enpchina.eu/;
朝城;Chaocheng;Shandong;山東;36.0682640690473;115.583537578028;朝城縣;縣;1931;11703684;N0415452;2333;s1266;ENP-China Project: https://www.enpchina.eu/;
巢縣;Chaoxian;Anhui;安徽;31.6180295756098;117.880016207497;巢縣;縣;1931;11703622;N0415390;1688;s307;ENP-China Project: https://www.enpchina.eu/;
朝陽;Chaoyang;Guangdong;廣東;23.2824448327723;116.581145838121;朝陽縣;縣;1931;11703686;N0415454;2559;s1327;ENP-China Project: https://www.enpchina.eu/;
朝陽;Chaoyang;Jehol;熱河;41.5664875087416;120.430957700248;朝陽縣;縣;1931;11703687;N0415455;1055;s489;ENP-China Project: https://www.enpchina.eu/;
朝邑;Chaoyi;Shaanxi;陝西;34.7935196027975;109.97903771048;朝邑縣;縣;1931;11703685;N0415453;102;s1500;ENP-China Project: https://www.enpchina.eu/;
察雅;Chaya;Xikang;西康;30.6002641776613;98.0337143372308;察雅縣;縣;1931;D3414162;N0317290-1;249;s1700;ENP-China Project: https://www.enpchina.eu/;
察隅;Chayu;Xikang;西康;28.6637930990452;96.9294841303369;察隅縣;縣;1931;D3244649;N0317289;256;s1218;ENP-China Project: https://www.enpchina.eu/;
車里;Cheli;Yunnan;雲南;21.9595441462704;100.833847040451;車里縣;縣;1931;11703856;N0415624;920;s771;ENP-China Project: https://www.enpchina.eu/;
成安;Chengan;Hebei;河北;36.4378759143676;114.67826207319;成安縣;縣;1931;D3086790;N0329755;1580;s201;ENP-China Project: https://www.enpchina.eu/;
城步;Chengbu;Hunan;湖南;26.4844192113274;110.238649459543;城步縣;縣;1931;DH045985-1;DH220778-1;1224;s524;ENP-China Project: https://www.enpchina.eu/;
澄城;Chengcheng;Shaanxi;陝西;35.0598225309021;109.734511949047;澄城縣;縣;1931;D3315561;N0359660;578;s812;ENP-China Project: https://www.enpchina.eu/;
