Position_Eng_Srce;Sector_1;Sector_2;Occupation_Category;Occupation_Subcategory;Occupation_Detail;Typology_Source
Fire brigade staff;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Other categories;Army and police;;Both
Firemen and stoker;INDUSTRY;INDUSTRY;Workers;Skilled workers;;Both
Fireworks factory worker;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;Both
Fireworks factory workers;INDUSTRY;OTHER INDUSTRY;Workers;Skilled workers;;SMC
Fish monger;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Fish mongers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Flags and sail maker;INDUSTRY;TEXTILE INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Florist;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Fortune teller;SERVICE;UNDEFINED;Unemployed;Unemployed;;Both
Fortune tellers;SERVICE;UNDEFINED;Unemployed;Unemployed;;SMC
Freight Agent;;;Professionals and senior executives;Business agent;Department agent;Typo_positions
Freight measurer;SERVICE;SHIPPING;Professionals and senior executives;Professionals;;Both
Frigidaire Division;;;Professionals and senior executives;Business agent;Department agent;Typo_positions
Fruit Stall-holders;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Fuel merchant;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Fuel merchants;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Furniture manufacturer;INDUSTRY;WOODWORKING INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Furniture manufacturers;INDUSTRY;WOODWORKING INDUSTRY;Trade and Industry Business Owners;Manufacturer;;SMC
Furrier;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;Both
Furriers;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;SMC
Gaolers and warden;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Workers;Laborers;;Both
Garage owners and assistant;TRADE;TRANSPORTATION;Trade and Industry Business Owners;Small traders;;Both
Garage owners and assistants;TRADE;TRADE;Trade and Industry Business Owners;Small traders;;SMC
Gardener;AGRICULTURE AND GARDENING;AGRICULTURE AND GARDENING;Farmers and gardeners;Farmers and gardeners;;Both
Gardeners;AGRICULTURE AND GARDENING;AGRICULTURE AND GARDENING;Farmers and gardeners;Farmers and gardeners;;SMC
Gas fitter;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Gas supply worker;INDUSTRY;PUBLIC UTILITY;Workers;Skilled workers;;SMC
Gas supply workers;INDUSTRY;PUBLIC UTILITY;Workers;Skilled workers;;Both
General Commercial Manager;;;Middle managers;Manager;Department manager;Typo_positions
General Manager;;;Professionals and senior executives;Business executive;General Manager;Typo_positions
General Manager & Chief Engineer;;;Professionals and senior executives;Business executive;General Manager;Typo_positions
General Passenger Agent;;;Professionals and senior executives;Business agent;Department agent;Typo_positions
General Secretary;;;Professionals and senior executives;Organization executive;Secretary;Typo_positions
Gentleman;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;Both
Geologist;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;Both
Glassmaker;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Glassmakers;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;SMC
Glover;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Golf professionnal;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;Both
Governor;;;Professionals and senior executives;Government and administrative official;Governor;Typo_positions
Groom;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;Both
Gunsmith;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Hair dressers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Hairdressers, manicurists and perfumer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Handcart coolies;SERVICE;TRANSPORTATION;Workers;Laborers;;Both
Hardware dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Hardware dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Hatmaker;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Hawkers;TRADE;RETAIL TRADE;Workers;Small traders;;Both
Headmaster;;;Professionals and senior executives;Educational executive;Headmaster;Typo_positions
High Advisor to the Ministry of Communications;;;Professionals and senior executives;Expert;Advisor;Typo_positions
Historiographer;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;Both
Horticulturist;AGRICULTURE AND GARDENING;AGRICULTURE AND GARDENING;Farmers and gardeners;Farmers and gardeners;;Both
Hosier;TRADE;TEXTILE INDUSTRY;Workers;Skilled workers;;Both
Hospital patient;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;Both
Hospital Pharmacist;;;Professionals and senior executives;Medical executive;Pharmacist;Typo_positions
Hospital staff;SERVICE;DOMESTIC SERVICES;Employees;Office workers;;Both
Hot water seller;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Hot water sellers;TRADE;RETAIL TRADE;Workers;Small traders;;SMC
Hotel runner;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;Both
Import Department;;;Professionals and senior executives;Business agent;Department agent;Typo_positions
Importers and exporters;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;Both
Ink maker;INDUSTRY;CHEMICAL INDUSTRY;Trade and Industry Business Owners;Small traders;;Both
Ink makers;INDUSTRY;CHEMICAL INDUSTRY;Trade and Industry Business Owners;Small traders;;SMC
Inn and hotel keeper;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;Both
Insurance agents staff;SERVICE;FINANCE AND INSURANCE;Employees;Office workers;;Both
Insurance staff;SERVICE;FINANCE AND INSURANCE;Employees;Office workers;;SMC
Interpreter;SERVICE;PROFESSIONAL;Professionals and senior executives;Professors, literary and scientific professions;;Both
Jewellers and silversmith;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Jewellers and silversmiths;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Joss paper worker;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Joss paper workers;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;SMC
Journalist;SERVICE;PROFESSIONAL;Professionals and senior executives;Professors, literary and scientific professions;;Both
Journalists;SERVICE;PROFESSIONAL;Professionals and senior executives;Professors, literary and scientific professions;;SMC
Judge;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Professionals and senior executives;Professionals;;Both
Judicial officers;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Professionals and senior executives;Professionals;;Both
Laborer;SERVICE;SERVICE;Workers;Laborers;;Both
Land-owner;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;Both
Laundryman;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Laundrymen;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Lawyer;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;Both
Lawyers;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;SMC
Leather goods worker;INDUSTRY;INDUSTRY;Workers;Skilled workers;;Both
Leather goods workers;INDUSTRY;INDUSTRY;Workers;Skilled workers;;SMC
Librarian;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Employees;Office workers;;Both
Lighthouse keeper;SERVICE;DOMESTIC SERVICES;Workers;Laborers;;Both
Lime and ash worker;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;Both
Lime and ash workers;INDUSTRY;INDUSTRY;Workers;Laborers;;SMC
Lithographer;INDUSTRY;PAPER AND PRINTING;Workers;Skilled workers;;Both
Livery stable keeper;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Manufacturer;;Both
Locksmith;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Lodging house keeper;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;Both
Lottery administration staff;SERVICE;SERVICE;Employees;Office workers;;Both
Lumberman;INDUSTRY;WOODWORKING INDUSTRY;Trade and Industry Business Owners;Small traders;;Both
Lumbermen;INDUSTRY;WOODWORKING INDUSTRY;Trade and Industry Business Owners;Small traders;;SMC
Machine factory worker;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;Both
Machine factory workers;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;SMC
Manager;;;Middle managers;Manager;Manager;Typo_positions
Manager for China;;;Middle managers;Manager;Local manager;Typo_positions
Managers (unclassified);INDUSTRY;INDUSTRY;Middle managers;Technicians;;Both
Managing Director;;;Professionals and senior executives;Business executive;Managing Director;Typo_positions
Manufacturer;INDUSTRY;INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Marine officer;SERVICE;SHIPPING;Middle managers;Technicians;;Both
Marine superintendent;SERVICE;SHIPPING;Middle managers;Technicians;;Both
Marine surveyor;SERVICE;SHIPPING;Middle managers;Technicians;;Both
Mariner;SERVICE;SHIPPING;Workers;Seamen;;Both
Mason;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;Both
Masons;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;SMC
Masseur;SERVICE;DOMESTIC SERVICES;Middle managers;Medical and social service technician;;Both
Masseurs;SERVICE;DOMESTIC SERVICES;Middle managers;Medical and social service technician;;SMC
Master mariner;SERVICE;SHIPPING;Workers;Seamen;;Both
Match worker;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;Both
Match workers;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;SMC
Matmaker;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Manufacturer;;Both
Mayor;;;Professionals and senior executives;Government and administrative official;Municipal official;Typo_positions
Mechanic;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;Both
Mechanical Supervisor;;;Professionals and senior executives;Business executive;Supervisor;Typo_positions
Medical practitioner;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;Both
Member;;;Professionals and senior executives;Religious official;Religious official;Typo_positions
Member Executive Committee;;;Professionals and senior executives;Business executive;Executive;Typo_positions
Mercantile assistant;TRADE;TRADE;Employees;Trade employees;;Both
Merchant;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Merchants;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Metal worker;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;Both
Metal workers;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;SMC
Milkman;TRADE;RETAIL TRADE;Workers;Skilled workers;;Both
Mill and filature worker;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;Both
Mill and filature workers;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;SMC
Mill Manager;;;Middle managers;Manager;Department manager;Typo_positions
Miller;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Millwright;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;Both
Miner;INDUSTRY;INDUSTRY;Workers;Skilled workers;;Both
Mining engineers;INDUSTRY;MACHINERY AND METAL PRODUCTS;Professionals and senior executives;Engineers;;Both
Minister for Sweden;;;Professionals and senior executives;Government and administrative official;Ambassador;Typo_positions
Mint worker;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;Both
Mint workers;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;SMC
Missionaries;MISCELLANEOUS CATEGORIES;UNDEFINED;Other categories;Clergymen;;Both
Moneylender;SERVICE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;Both
Municipal Employee;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Employees;Office workers;;Both
Municipal Employee (not otherwise enumerated);ADMINISTRATION;MUNICIPAL ADMINISTRATION;Employees;Office workers;;SMC
Municipal Employees (not otherwise enumerated);ADMINISTRATION;MUNICIPAL ADMINISTRATION;Employees;Office workers;;SMC
Musical instruments maker;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;Both
Musician;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;Both
Musicians;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;SMC
National Vocational Secretary;;;Professionals and senior executives;Educational executive;Secretary;Typo_positions
Naval and Military officer;ADMINISTRATION;GOVERNMENT;Other categories;Army and police;;Both
Naval and military officers;ADMINISTRATION;GOVERNMENT;Other categories;Army and police;;SMC
Needlemaker;INDUSTRY;MACHINERY AND METAL PRODUCTS;Trade and Industry Business Owners;Manufacturer;;Both
Notary;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;Both
Nurse and midwife;SERVICE;DOMESTIC SERVICES;Middle managers;Medical and social service technician;;Both
Nurses;SERVICE;DOMESTIC SERVICES;Middle managers;Medical and social service technician;;SMC
Official;ADMINISTRATION;GOVERNMENT;Employees;Office workers;;SMC
Official (Public offices (includ. Customs));ADMINISTRATION;GOVERNMENT;Employees;Office workers;;Both
Oil and sauce dealer;TRADE;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Wholesale traders;;Both
Oil and sauce dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Oil refiner;INDUSTRY;CHEMICAL INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Omnibus Co. Staff;SERVICE;TRANSPORTATION;Employees;Office workers;;Both
Optician;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Opticians;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Organist;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;Both
Ornament maker;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;Both
Overseer and inspector (unclassified);SERVICE;TRANSPORTATION;Middle managers;Technicians;;Both
Packer;INDUSTRY;PAPER AND PRINTING;Workers;Laborers;;Both
Packers;INDUSTRY;PAPER AND PRINTING;Workers;Laborers;;SMC
Painter;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Painters;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;SMC
Paper articles makers;INDUSTRY;PAPER AND PRINTING;Trade and Industry Business Owners;Manufacturer;;Both
Paper hanger;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Paper maker;INDUSTRY;PAPER AND PRINTING;Trade and Industry Business Owners;Manufacturer;;Both
Paper merchant;TRADE;PAPER AND PRINTING;Trade and Industry Business Owners;Wholesale traders;;Both
Paper merchants;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Partner;;;Professionals and senior executives;Professional;Partner;Typo_positions
Partner and Manager;;;Trade and Industry Business Owners;Business owner;Partner;Typo_positions
Pastor;;;Professionals and senior executives;Religious official;Religious official;Typo_positions
Pawnbroker;TRADE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;Both
Pawnbrokers;TRADE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;SMC
Peddlar;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Pedlar;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Peking Correspondent;;;Professionals and senior executives;Professional;Journalist;Typo_positions
Pensioner;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;Both
Persons of independent Means;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;Both
Phonograph dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Phonograph dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Photographer;INDUSTRY;PAPER AND PRINTING;Trade and Industry Business Owners;Craftsmen;;Both
Photographers;INDUSTRY;PAPER AND PRINTING;Trade and Industry Business Owners;Craftsmen;;SMC
Physical culturist;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;Both
Physical culturists;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;SMC
Piano manufacturer;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;Both
Piano tuner;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Pilot;SERVICE;SHIPPING;Workers;Skilled workers;;Both
Planter;AGRICULTURE AND GARDENING;AGRICULTURE AND GARDENING;Farmers and gardeners;Farmers and gardeners;;Both
Plaster worker;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Plumber;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Police;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Other categories;Army and police;;Both
Porcelain maker;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;Both
Porcelain makers;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;SMC
Postal worker;SERVICE;COMMUNICATION;Employees;Office workers;;Both
Postal workers;SERVICE;COMMUNICATION;Employees;Office workers;;SMC
Poultry and game dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;Both
Poultry and game dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;SMC
President;;;Professionals and senior executives;Business executive;President;Typo_positions
Printer;INDUSTRY;PAPER AND PRINTING;Workers;Skilled workers;;Both
Printers;INDUSTRY;PAPER AND PRINTING;Workers;Skilled workers;;SMC
Prisoner;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;Both
Prisoners;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;SMC
Private Business;;;Trade and Industry Business Owners;Business owner;Business owner;Typo_positions
Private detective;SERVICE;PROFESSIONAL;Professionals and senior executives;Professors, literary and scientific professions;;Both
Procession equipment dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;Both
Procession equipment dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Professor;;;Professionals and senior executives;Professional;Professor;Typo_positions
Professor and teacher;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;Both
Professor of Surgery;;;Professionals and senior executives;Professional;Professor;Typo_positions
Professors and teacher;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;SMC
Professors of music;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;Both
Proprietor;;;Trade and Industry Business Owners;Business owner;Proprietor;Typo_positions
Prospector;SERVICE;PROFESSIONAL;Professionals and senior executives;Engineers;;Both
Public companies agent;INDUSTRY;PUBLIC UTILITY;Employees;Office workers;;Both
Public health officer and worker;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Employees;Office workers;;Both
Public health officers and workers;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Employees;Office workers;;SMC
Public officers (includ. Customs));ADMINISTRATION;GOVERNMENT;Employees;Office workers;;SMC
