Position_Eng_Srce;Sector_1;Sector_2;Occupation_Category;Occupation_Subcategory;Occupation_Detail;Typology_Source
Supt. Of Hospital;;;Professionals and senior executives;Medical executive;Superintendent;Typo_positions
Surveyor;SERVICE;PROFESSIONAL;Middle managers;Technicians;;Both
Surveyors;SERVICE;PROFESSIONAL;Middle managers;Technicians;;SMC
Tailors;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;SMC
Tailors, dressmakers and embroiderer;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;Both
Tanner;INDUSTRY;LEATHER AND RUBBER INDUSTRY;Trade and Industry Business Owners;Small traders;;Both
Tattoer;MISCELLANEOUS CATEGORIES;UNDEFINED;Trade and Industry Business Owners;Small traders;;Both
Tax collector;SERVICE;MUNICIPAL ADMINISTRATION;Employees;Office workers;;Both
Tea inspector;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Middle managers;Technicians;;Both
Tea merchant;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;Both
Tea merchants;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;SMC
Teacher;;;Professionals and senior executives;Professional;Teacher;Typo_positions
Telegraphist;SERVICE;COMMUNICATION;Employees;Office workers;;Both
Telegraphists;SERVICE;COMMUNICATION;Employees;Office workers;;SMC
Telephone Co. Employees;SERVICE;COMMUNICATION;Employees;Office workers;;Both
Telephone engineer;SERVICE;PROFESSIONAL;Professionals and senior executives;Engineers;;Both
Telephone operator;SERVICE;COMMUNICATION;Employees;Office workers;;Both
Telephone operators and staff;SERVICE;COMMUNICATION;Employees;Office workers;;SMC
Tobacco manufacturer;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Tobacconists;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Tooth brush makers;INDUSTRY;OTHER INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Tortoiseshell worker;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Toy maker;INDUSTRY;OTHER INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Toy makers;INDUSTRY;OTHER INDUSTRY;Trade and Industry Business Owners;Manufacturer;;SMC
Traffic Accountant;;;Professionals and senior executives;Professional;Accountant;Typo_positions
Trainer (dog, horse, poney);SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;Both
Tramway official;SERVICE;TRANSPORTATION;Middle managers;Middle administrative managers;;Both
Tramway officials and workers;SERVICE;TRANSPORTATION;Middle managers;Middle administrative managers;;SMC
Translator;SERVICE;PROFESSIONAL;Middle managers;Technicians;;Both
Transportation worker;SERVICE;TRANSPORTATION;Workers;Laborers;;Both
Transportation workers;SERVICE;TRANSPORTATION;Middle managers;Middle administrative managers;;SMC
Traveler (Persons in hotel);MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;SMC
Travelers;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;Both
Treasurer;;;Professionals and senior executives;Business executive;Treasurer;Typo_positions
Trunk and box maker;INDUSTRY;WOODWORKING INDUSTRY;Workers;Skilled workers;;Both
Trust Dept. Chief;;;Professionals and senior executives;Business executive;Department Chief;Typo_positions
U.S. Commercial Attache;;;Professionals and senior executives;Expert;Commercial Attaché;Typo_positions
Undefined;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;SMC
Undertaker;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Underwriter;SERVICE;FINANCE AND INSURANCE;Professionals and senior executives;Professionals;;Both
Unemployed;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;Both
Unstated, family dependents and minor;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;Both
Unstated, family dependents and minors;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;SMC
Usher;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;Both
Vegetable vendor;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Vegetable vendors;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Vehicule dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;Both
Vehicule dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;SMC
Veterinarian;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;Both
Veterinarians;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;SMC
Vice President;;;Professionals and senior executives;Business executive;Vice-President;Typo_positions
Vice-President;;;Professionals and senior executives;Business executive;Vice-President;Typo_positions
Watchmaker;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;Both
Watchmakers;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;SMC
Watchman;SERVICE;DOMESTIC SERVICES;Workers;Laborers;;Both
Water supply worker;INDUSTRY;PUBLIC UTILITY;Workers;Skilled workers;;Both
Water supply workers;INDUSTRY;PUBLIC UTILITY;Workers;Skilled workers;;SMC
Welder;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;Both
Well driller;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Well drillers;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;SMC
Wharfinger;SERVICE;SHIPPING;Workers;Seamen;;Both
Wine merchants;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Small traders;;Both
Wireless operators;SERVICE;COMMUNICATION;Employees;Office workers;;Both
Woollen goods dealers;INDUSTRY;TEXTILE INDUSTRY;Trade and Industry Business Owners;Small traders;;Both
