Position_Srce;Sector 1;Sector 2;CSP;Position_type_1;Position_type_2;Year;Source;Comments
Livery stable keeper;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Locksmith;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Lodging house keeper;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Lottery administration staff;SERVICE;SERVICE;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Lumberman;INDUSTRY;WOODWORKING INDUSTRY;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Machine factory worker;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Manager;;;Middle managers;Manager;Manager;1930;Rotary;
Manager for China;;;Middle managers;Manager;Local manager;1948;Rotary;
Managers (unclassified);INDUSTRY;INDUSTRY;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Managing Director;;;Professionals and senior executives;Business executive;Managing Director;1930;Rotary;
Manufacturer;INDUSTRY;INDUSTRY;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Marine officer;SERVICE;SHIPPING;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Marine superintendent;SERVICE;SHIPPING;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Marine surveyor;SERVICE;SHIPPING;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Mariner;SERVICE;SHIPPING;Workers;Seamen;;1885-1935;Shanghai Municipal Council, Annual Report;
Mason;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;1885-1935;Shanghai Municipal Council, Annual Report;
Masseur;SERVICE;DOMESTIC SERVICES;Middle managers;Medical and social service technician;;1885-1935;Shanghai Municipal Council, Annual Report;
Master mariner;SERVICE;SHIPPING;Workers;Seamen;;1885-1935;Shanghai Municipal Council, Annual Report;
Match worker;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Matmaker;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Mayor;;;Professionals and senior executives;Government and administrative official;Municipal official;1948;Rotary;
Mechanic;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Mechanical Supervisor;;;Professionals and senior executives;Business executive;Supervisor;1937;Rotary;
Medical practitioner;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Member;;;Professionals and senior executives;Religious official;Religious official;1937;Rotary;
Member Executive Committee;;;Professionals and senior executives;Business executive;Executive;1940;Rotary;
Mercantile assistant;TRADE;TRADE;Employees;Trade employees;;1885-1935;Shanghai Municipal Council, Annual Report;
Merchant;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
