Position_Srce;Sector 1;Sector 2;CSP;Position_type_1;Position_type_2;Year;Source;Comments
Toy maker;INDUSTRY;OTHER INDUSTRY;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Traffic Accountant;;;Professionals and senior executives;Professional;Accountant;1940;Rotary;
Trainer (dog, horse, poney);SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;1885-1935;Shanghai Municipal Council, Annual Report;
Tramway official;SERVICE;TRANSPORTATION;Middle managers;Middle administrative managers;;1885-1935;Shanghai Municipal Council, Annual Report;
Translator;SERVICE;PROFESSIONAL;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Transportation worker;SERVICE;TRANSPORTATION;Workers;Laborers;;1885-1935;Shanghai Municipal Council, Annual Report;
Travelers;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Treasurer;;;Professionals and senior executives;Business executive;Treasurer;1940;Rotary;
Trunk and box maker;INDUSTRY;WOODWORKING INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Trust Dept. Chief;;;Professionals and senior executives;Business executive;Department Chief;1937;Rotary;
