Position_Zh_Srce;Position_Eng;Year;Source;Eng_Source
文書科主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
新閘辦事處主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
會計主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
會計科科長;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
業務科科長;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
營業主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
營業課主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
營業課課長;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
營業部主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
界路辦事處主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
百老匯路辦事處主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
稽核部主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第一科科長;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第七廠營業主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
經濟研究室主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
編輯所主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總務主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總務科主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總務部主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總管理處主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總管理處業務股長;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總管理處業務調查課課長;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總管理處總務課課長;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
虹口分會主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
虹口辦事處主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
西門分會主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
證券股主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
財務主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
辦事部主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
醫務主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
霞飛路分會主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
駐滬辦事處主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
龍路辦事處主任;bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
主人;business owner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
主行長;business owner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
場主;business owner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
店主;business owner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
棧主;business owner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
號主;business owner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
行主;business owner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
組織員;business owner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總賬;cashier;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
主席;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
參議長;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
執行委員會主席;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
委員長;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
監察委員會委員長;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總會理事長;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
中政會交通研究委員會主任;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
主任委員;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
購料委員會主任委員;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
農業放款委員會主任委員;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
監事會主席;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
創辦組織員;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
會長;chairman;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
校長;chancellor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
局長;chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
建設廳長;chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
所長;chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
民政廳長;chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
滬南區第七隊隊長;chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
社會經濟調查所所長;chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
主任;chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
