Position_Eng_Srce;Source
Executive Committee Member;Biographical Dictionary of Republican China, vols 1-4
Government Council Member;Biographical Dictionary of Republican China, vols 1-4
Legislator;Biographical Dictionary of Republican China, vols 1-4
Political Officer;Biographical Dictionary of Republican China, vols 1-4
Principal;Biographical Dictionary of Republican China, vols 1-4
Personal Secretary;Biographical Dictionary of Republican China, vols 1-4
Intelligence Officer;Biographical Dictionary of Republican China, vols 1-4
Deputy Chieftain;Biographical Dictionary of Republican China, vols 1-4
Defense Commissioner;Biographical Dictionary of Republican China, vols 1-4
Political Bureau Member;Biographical Dictionary of Republican China, vols 1-4
Deputy Leader;Biographical Dictionary of Republican China, vols 1-4
Miner;Biographical Dictionary of Republican China, vols 1-4
Fundraiser;Biographical Dictionary of Republican China, vols 1-4
Political Liaison Officer;Biographical Dictionary of Republican China, vols 1-4
Assemblyman;Biographical Dictionary of Republican China, vols 1-4
Co-Editor;Biographical Dictionary of Republican China, vols 1-4
Honorary Secretary;Biographical Dictionary of Republican China, vols 1-4
Honorary Director;Biographical Dictionary of Republican China, vols 1-4
Junior Official;Biographical Dictionary of Republican China, vols 1-4
Jinshi;Biographical Dictionary of Republican China, vols 1-4
Chief Justice;Biographical Dictionary of Republican China, vols 1-4
Executive Secretary;Biographical Dictionary of Republican China, vols 1-4
Junior Adviser;Biographical Dictionary of Republican China, vols 1-4
English Secretary;Biographical Dictionary of Republican China, vols 1-4
Correspondent;Biographical Dictionary of Republican China, vols 1-4
Assistant Editor;Biographical Dictionary of Republican China, vols 1-4
Managing Director;Biographical Dictionary of Republican China, vols 1-4
Honorary Professor;Biographical Dictionary of Republican China, vols 1-4
Visiting Professor;Biographical Dictionary of Republican China, vols 1-4
Provisional Chief Executive;Biographical Dictionary of Republican China, vols 1-4
Expectant Tao-T'ai;Biographical Dictionary of Republican China, vols 1-4
Supervisor;Biographical Dictionary of Republican China, vols 1-4
Chief Editor;Biographical Dictionary of Republican China, vols 1-4
Reporter;Biographical Dictionary of Republican China, vols 1-4
Spokesman;Biographical Dictionary of Republican China, vols 1-4
Central Executive Council Member;Biographical Dictionary of Republican China, vols 1-4
Council Member;Biographical Dictionary of Republican China, vols 1-4
Military Lieutenant Governor;Biographical Dictionary of Republican China, vols 1-4
Battalion Commander;Biographical Dictionary of Republican China, vols 1-4
Teacher;Biographical Dictionary of Republican China, vols 1-4
Art Teacher;Biographical Dictionary of Republican China, vols 1-4
Adviser;Biographical Dictionary of Republican China, vols 1-4
Senator;Biographical Dictionary of Republican China, vols 1-4
Reserve Member;Biographical Dictionary of Republican China, vols 1-4
Defense Commander;Biographical Dictionary of Republican China, vols 1-4
Senior Undersecretary;Biographical Dictionary of Republican China, vols 1-4
Assistant Professor;Biographical Dictionary of Republican China, vols 1-4
Trustee;Biographical Dictionary of Republican China, vols 1-4
Judge;Biographical Dictionary of Republican China, vols 1-4
Chief Delegate;Biographical Dictionary of Republican China, vols 1-4
Assessor;Biographical Dictionary of Republican China, vols 1-4
District Corps Commander;Biographical Dictionary of Republican China, vols 1-4
Chief Adjutant;Biographical Dictionary of Republican China, vols 1-4
Editor In Chief;Biographical Dictionary of Republican China, vols 1-4
Chief English Secretary;Biographical Dictionary of Republican China, vols 1-4
Technical Expert;Biographical Dictionary of Republican China, vols 1-4
Division Commander;Biographical Dictionary of Republican China, vols 1-4
Brigade Commander;Biographical Dictionary of Republican China, vols 1-4
Agent;Biographical Dictionary of Republican China, vols 1-4
Changsha Pacification Director;Biographical Dictionary of Republican China, vols 1-4
Executive Council Member;Biographical Dictionary of Republican China, vols 1-4
Central People's Government Council Member;Biographical Dictionary of Republican China, vols 1-4
Commanding Officer;Biographical Dictionary of Republican China, vols 1-4
Honorary Member;Biographical Dictionary of Republican China, vols 1-4
Chief Engineer;Biographical Dictionary of Republican China, vols 1-4
Actress;Biographical Dictionary of Republican China, vols 1-4
Writer;Biographical Dictionary of Republican China, vols 1-4
Editorial Board Member;Biographical Dictionary of Republican China, vols 1-4
Chief Counselor;Biographical Dictionary of Republican China, vols 1-4
Political Instructor;Biographical Dictionary of Republican China, vols 1-4
Translator;Biographical Dictionary of Republican China, vols 1-4
Apprentice;Biographical Dictionary of Republican China, vols 1-4
Deputy Battalion Commander;Biographical Dictionary of Republican China, vols 1-4
Section Chief;Biographical Dictionary of Republican China, vols 1-4
Departmental Librarian;Biographical Dictionary of Republican China, vols 1-4
Personal Representative;Biographical Dictionary of Republican China, vols 1-4
Superintendent;Biographical Dictionary of Republican China, vols 1-4
Leader;Biographical Dictionary of Republican China, vols 1-4
Officer;Biographical Dictionary of Republican China, vols 1-4
Military Commander;Biographical Dictionary of Republican China, vols 1-4
Secretariat Member;Biographical Dictionary of Republican China, vols 1-4
Major General;Biographical Dictionary of Republican China, vols 1-4
Envoy;Biographical Dictionary of Republican China, vols 1-4
Administrator;Biographical Dictionary of Republican China, vols 1-4
Deputy Pacification Commissioner;Biographical Dictionary of Republican China, vols 1-4
Central Supervisory Committee Member;Biographical Dictionary of Republican China, vols 1-4
School Inspector;Biographical Dictionary of Republican China, vols 1-4
Assistant General Manager;Biographical Dictionary of Republican China, vols 1-4
Covert Agent;Biographical Dictionary of Republican China, vols 1-4
Corresponding Research Fellow;Biographical Dictionary of Republican China, vols 1-4
Founder;Biographical Dictionary of Republican China, vols 1-4
Honorary Fellow;Biographical Dictionary of Republican China, vols 1-4
Associate Professor;Biographical Dictionary of Republican China, vols 1-4
Editorial Secretary;Biographical Dictionary of Republican China, vols 1-4
Pastor;Biographical Dictionary of Republican China, vols 1-4
Assistant Minister;Biographical Dictionary of Republican China, vols 1-4
Lieutenant Colonel;Biographical Dictionary of Republican China, vols 1-4
Students' Corps Member;Biographical Dictionary of Republican China, vols 1-4
Provincial Councillor;Biographical Dictionary of Republican China, vols 1-4
Military Councillor;Biographical Dictionary of Republican China, vols 1-4
Company Commander;Biographical Dictionary of Republican China, vols 1-4
Regimental Commander;Biographical Dictionary of Republican China, vols 1-4
Assistant Director;Biographical Dictionary of Republican China, vols 1-4
Foreign Affairs Commissioner;Biographical Dictionary of Republican China, vols 1-4
Deputy Head;Biographical Dictionary of Republican China, vols 1-4
Acting Chancellor;Biographical Dictionary of Republican China, vols 1-4
Lieutenant;Biographical Dictionary of Republican China, vols 1-4
Provincial Commissioner;Biographical Dictionary of Republican China, vols 1-4
Magistrate;Biographical Dictionary of Republican China, vols 1-4
Lieutenant General;Biographical Dictionary of Republican China, vols 1-4
Military Adviser;Biographical Dictionary of Republican China, vols 1-4
Buddhist Monk;Biographical Dictionary of Republican China, vols 1-4
Political Security Bureau Member;Biographical Dictionary of Republican China, vols 1-4
Candidate Member;Biographical Dictionary of Republican China, vols 1-4
Associate Dean;Biographical Dictionary of Republican China, vols 1-4
Assistant Proctor;Biographical Dictionary of Republican China, vols 1-4
Apostolic prefect;Biographical Dictionary of Republican China, vols 1-4
Vice Pastor;Biographical Dictionary of Republican China, vols 1-4
Executive Director;Biographical Dictionary of Republican China, vols 1-4
Associate Editor;Biographical Dictionary of Republican China, vols 1-4
Chief Administrator;Biographical Dictionary of Republican China, vols 1-4
Co-Chairman;Biographical Dictionary of Republican China, vols 1-4
Deputy Dean;Biographical Dictionary of Republican China, vols 1-4
Deputy Minister;Biographical Dictionary of Republican China, vols 1-4
Presiding Judge;Biographical Dictionary of Republican China, vols 1-4
Auditor;Biographical Dictionary of Republican China, vols 1-4
