Position_Eng_Srce;Source
Assistant Attorney General;Asia Directory & Chronicle
Assistant Auditor;Asia Directory & Chronicle
Assistant Boat Officer;Asia Directory & Chronicle
Assistant Boiler Superintendent;Asia Directory & Chronicle
Assistant Boilermaker;Asia Directory & Chronicle
Assistant Bookkeeper;Asia Directory & Chronicle
Assistant Brewmaster;Asia Directory & Chronicle
Assistant Cargo Superintendent;Asia Directory & Chronicle
Assistant Cashier;Asia Directory & Chronicle
Assistant Chaplain;Asia Directory & Chronicle
Assistant Chemist;Asia Directory & Chronicle
Assistant Chief Constructor;Asia Directory & Chronicle
Assistant Chief Examiner;Asia Directory & Chronicle
Assistant Chief of Police;Asia Directory & Chronicle
Assistant Chief Warder;Asia Directory & Chronicle
Assistant Chinese Secretary;Asia Directory & Chronicle
Assistant Civil Engineer;Asia Directory & Chronicle
Assistant Clerk;Asia Directory & Chronicle
Assistant Colonial Secretary;Asia Directory & Chronicle
Assistant Colonial Secretary and Acting Clerk of Councils;Asia Directory & Chronicle
Assistant Colonial Secretary and Clerk of Councils;Asia Directory & Chronicle
Assistant Colonial Veterinary Surgeon;Asia Directory & Chronicle
Assistant Command Paymaster;Asia Directory & Chronicle
Assistant Commercial Attache;Asia Directory & Chronicle
Assistant Commercial Attaché;Asia Directory & Chronicle
Assistant Commisary of Ordnance;Asia Directory & Chronicle
Assistant Commissary;Asia Directory & Chronicle
Assistant Commissary General;Asia Directory & Chronicle
Assistant Commissary of Ordnance;Asia Directory & Chronicle
Assistant Commissioner;Asia Directory & Chronicle
Assistant Commissioner of Public Health;Asia Directory & Chronicle
Assistant Conductor;Asia Directory & Chronicle
Assistant Constructor;Asia Directory & Chronicle
Assistant Consul;Asia Directory & Chronicle
Assistant Consular Surgeon;Asia Directory & Chronicle
Assistant Controller;Asia Directory & Chronicle
Assistant Deputy Land Officer;Asia Directory & Chronicle
Assistant Director Manager;Asia Directory & Chronicle
Assistant Director of Medical Service;Asia Directory & Chronicle
Assistant Director of Ordnance Services;Asia Directory & Chronicle
Assistant Director of Supplies and Transport;Asia Directory & Chronicle
Assistant Distribution Engineer;Asia Directory & Chronicle
Assistant District Inspector;Asia Directory & Chronicle
Assistant District Superintendent;Asia Directory & Chronicle
Assistant Dockyard Manager;Asia Directory & Chronicle
Assistant Draftsman;Asia Directory & Chronicle
Assistant Draughtsman;Asia Directory & Chronicle
Assistant Electrical Sunt;Asia Directory & Chronicle
Assistant Engine Works Manager;Asia Directory & Chronicle
Assistant Engineer;Asia Directory & Chronicle
Assistant Engineer and Acting Superintendent of Crown Lands,;Asia Directory & Chronicle
Assistant Engineer and Surveyor;Asia Directory & Chronicle
Assistant Engineer Department;Asia Directory & Chronicle
Assistant Engineer In Charge;Asia Directory & Chronicle
Assistant Engineer-in-Charge;Asia Directory & Chronicle
Assistant Engineer-in-Chief;Asia Directory & Chronicle
Assistant English Secretary;Asia Directory & Chronicle
Assistant Examiner and Diver;Asia Directory & Chronicle
Assistant Expense Accountant Officer;Asia Directory & Chronicle
Assistant Export Department;Asia Directory & Chronicle
Assistant Factory Manager;Asia Directory & Chronicle
Assistant Factory Superintendent;Asia Directory & Chronicle
Assistant Financial Adviser and Auditor;Asia Directory & Chronicle
Assistant Financial Secretary;Asia Directory & Chronicle
Assistant Fitter;Asia Directory & Chronicle
Assistant Fittg. Superintendent;Asia Directory & Chronicle
Assistant Fittings Superintendent;Asia Directory & Chronicle
Assistant Foreman;Asia Directory & Chronicle
Assistant Freight Clerk;Asia Directory & Chronicle
Assistant French Postmaster;Asia Directory & Chronicle
Assistant Gaoler;Asia Directory & Chronicle
Assistant General Superintendent;Asia Directory & Chronicle
Assistant Godown Superintendent;Asia Directory & Chronicle
Assistant Government Marine Surveyor;Asia Directory & Chronicle
Assistant Harbour Master;Asia Directory & Chronicle
Assistant Health Officer;Asia Directory & Chronicle
Assistant Heating Engineer;Asia Directory & Chronicle
Assistant Hospital Supervisor;Asia Directory & Chronicle
Assistant In Charge;Asia Directory & Chronicle
Assistant Inspection Officer;Asia Directory & Chronicle
Assistant Inspector;Asia Directory & Chronicle
Assistant Inspector of Brothel;Asia Directory & Chronicle
Assistant Inspector of Cargo Boats and Junk;Asia Directory & Chronicle
Assistant Inspector of Junks;Asia Directory & Chronicle
Assistant Inspector of Markets;Asia Directory & Chronicle
Assistant Inspector of Nuisances;Asia Directory & Chronicle
Assistant Inspector of Police;Asia Directory & Chronicle
Assistant Inspector of Works;Asia Directory & Chronicle
Assistant Inspectorate General;Asia Directory & Chronicle
Assistant Inspectorate-General;Asia Directory & Chronicle
Assistant Installation Manager;Asia Directory & Chronicle
Assistant Interpreter;Asia Directory & Chronicle
Assistant Judge;Asia Directory & Chronicle
Assistant Land Officer;Asia Directory & Chronicle
Assistant Land Surveyor;Asia Directory & Chronicle
Assistant Light-Keeper;Asia Directory & Chronicle
Assistant Lightkeeper;Asia Directory & Chronicle
Assistant Locomotive Superintendent;Asia Directory & Chronicle
Assistant Main Superintendent;Asia Directory & Chronicle
Assistant Malariologist;Asia Directory & Chronicle
Assistant Managing Director;Asia Directory & Chronicle
Assistant Marine Manager;Asia Directory & Chronicle
Assistant Marine Superintendent;Asia Directory & Chronicle
Assistant Marine Surveyor;Asia Directory & Chronicle
Assistant Master;Asia Directory & Chronicle
Assistant Mechancial Engineer;Asia Directory & Chronicle
Assistant Mechanic;Asia Directory & Chronicle
Assistant Mechanical Engineer;Asia Directory & Chronicle
Assistant Mechanical Officer;Asia Directory & Chronicle
Assistant Medical Officer;Asia Directory & Chronicle
Assistant Medical Officer of Health;Asia Directory & Chronicle
Assistant Medical Practitioner of Health;Asia Directory & Chronicle
Assistant Merchant;Asia Directory & Chronicle
Assistant Meteorologist;Asia Directory & Chronicle
Assistant Meter and Testing Engineer;Asia Directory & Chronicle
Assistant Meter Inspector;Asia Directory & Chronicle
Assistant Meterologist;Asia Directory & Chronicle
Assistant Military Agent for Russia;Asia Directory & Chronicle
Assistant Military Attache;Asia Directory & Chronicle
Assistant Mistress;Asia Directory & Chronicle
Assistant Naval Ordnance Storekeeper;Asia Directory & Chronicle
Assistant Naval Store Officer;Asia Directory & Chronicle
Assistant Naval Store Officer and Cashier;Asia Directory & Chronicle
Assistant Ordnance Store Officer;Asia Directory & Chronicle
Assistant Overseer of Taxes;Asia Directory & Chronicle
Assistant Paymaster;Asia Directory & Chronicle
Assistant Paymaster In Charg;Asia Directory & Chronicle
Assistant Paymaster, Secretary’S Clerk;Asia Directory & Chronicle
Assistant Physician;Asia Directory & Chronicle
Assistant Police Inspector;Asia Directory & Chronicle
Assistant Post Master General;Asia Directory & Chronicle
Assistant Postal Officer;Asia Directory & Chronicle
Assistant Postal Officer In Charge;Asia Directory & Chronicle
Assistant Postal Ofliccr;Asia Directory & Chronicle
Assistant Postal Oliicer;Asia Directory & Chronicle
Assistant Postmaster;Asia Directory & Chronicle
Assistant Postmaster General;Asia Directory & Chronicle
Assistant Postmaster-General;Asia Directory & Chronicle
Assistant Postmater General;Asia Directory & Chronicle
Assistant Principal Printing Officer;Asia Directory & Chronicle
Assistant Procurator;Asia Directory & Chronicle
Assistant Professor of Chemistry;Asia Directory & Chronicle
Assistant Purser;Asia Directory & Chronicle
Assistant Registrar General;Asia Directory & Chronicle
Assistant Registrar-General;Asia Directory & Chronicle
Assistant Reporter;Asia Directory & Chronicle
Assistant Revenue Officer;Asia Directory & Chronicle
Assistant River Inspector;Asia Directory & Chronicle
Assistant Rolling Stock Superintendent;Asia Directory & Chronicle
Assistant Sale Manager;Asia Directory & Chronicle
Assistant Sales Manager;Asia Directory & Chronicle
Assistant Sanitary Surveyor;Asia Directory & Chronicle
Assistant Sanitation Chemist;Asia Directory & Chronicle
Assistant Secretariat;Asia Directory & Chronicle
Assistant Shift Charge Engineer;Asia Directory & Chronicle
Assistant Shift Engineer;Asia Directory & Chronicle
Assistant Staff Secretary;Asia Directory & Chronicle
Assistant Station Officer;Asia Directory & Chronicle
Assistant Statistical Secretary;Asia Directory & Chronicle
Assistant Stenographer;Asia Directory & Chronicle
Assistant Steward;Asia Directory & Chronicle
Assistant Stockkeeper;Asia Directory & Chronicle
Assistant Store Keeper;Asia Directory & Chronicle
Assistant Store Officer;Asia Directory & Chronicle
Assistant Store Superintendent;Asia Directory & Chronicle
Assistant Store-Officer;Asia Directory & Chronicle
Assistant Storekeeper;Asia Directory & Chronicle
Assistant Storeman;Asia Directory & Chronicle
Assistant Sub-Manager;Asia Directory & Chronicle
Assistant Superintendent;Asia Directory & Chronicle
Assistant Superintendent Engineer;Asia Directory & Chronicle
Assistant Superintendent Military Telegraphs;Asia Directory & Chronicle
Assistant Superintendent of Hospitals;Asia Directory & Chronicle
Assistant Superintendent of Mails;Asia Directory & Chronicle
Assistant Superintendent of Parks;Asia Directory & Chronicle
Assistant Superintendent of Police;Asia Directory & Chronicle
Assistant Superintendent of Police and Acting Local Postmaster;Asia Directory & Chronicle
Assistant Superintendent of Police for Indians;Asia Directory & Chronicle
Assistant Superintendent of Revenue;Asia Directory & Chronicle
Assistant Superintendent of Stores;Asia Directory & Chronicle
Assistant Superintendent Superintendent Military Telegraphs;Asia Directory & Chronicle
Assistant Supervisor;Asia Directory & Chronicle
Assistant Supply Department;Asia Directory & Chronicle
Assistant Surgeon;Asia Directory & Chronicle
Assistant Surveyor;Asia Directory & Chronicle
Assistant Sworn Measurer;Asia Directory & Chronicle
Assistant Tariff Secretary;Asia Directory & Chronicle
Assistant Teacher;Asia Directory & Chronicle
Assistant Tide Surveyor;Asia Directory & Chronicle
Assistant To Commandant;Asia Directory & Chronicle
Assistant To Commercial Manager;Asia Directory & Chronicle
Assistant To Engineer-in-Chief;Asia Directory & Chronicle
Assistant To Marine Superintendent;Asia Directory & Chronicle
Assistant To Military Agent;Asia Directory & Chronicle
Assistant To President;Asia Directory & Chronicle
Assistant To Sales Manager;Asia Directory & Chronicle
Assistant To Wharf Manager;Asia Directory & Chronicle
Assistant Trade Commissioner;Asia Directory & Chronicle
Assistant Traffic Manager;Asia Directory & Chronicle
Assistant Treasurer;Asia Directory & Chronicle
Assistant Usher and Process Server;Asia Directory & Chronicle
Assistant Usher of Chief Magistrate'S Office;Asia Directory & Chronicle
Assistant Vice-Consul;Asia Directory & Chronicle
Assistant Victualling Store Officer;Asia Directory & Chronicle
Assistant Viewer;Asia Directory & Chronicle
Assistant Ward-Master;Asia Directory & Chronicle
Assistant Warden;Asia Directory & Chronicle
Assistant Warehouseman;Asia Directory & Chronicle
Assistant Wharf Clerk;Asia Directory & Chronicle
Assistant Wharf Manager;Asia Directory & Chronicle
Assistant Wharf-Manager;Asia Directory & Chronicle
Assistant Works Foreman;Asia Directory & Chronicle
Assistant Works Manager;Asia Directory & Chronicle
Assistant Workshop Officer;Asia Directory & Chronicle
Assistant Workshops Officer;Asia Directory & Chronicle
Assistant Yard Superintendent;Asia Directory & Chronicle
Assistente;Asia Directory & Chronicle
Associate Chief Inspector;Asia Directory & Chronicle
Associated Secretary;Asia Directory & Chronicle
Attaché;Asia Directory & Chronicle
Attaché au Service de Santé;Asia Directory & Chronicle
Attaché Commercial;Asia Directory & Chronicle
Attaché d'Ambassade;Asia Directory & Chronicle
Attaché de Chancellerie;Asia Directory & Chronicle
Attache for Language Study;Asia Directory & Chronicle
Attaché for Language Study;Asia Directory & Chronicle
Attache Militaire;Asia Directory & Chronicle
Attache Naval;Asia Directory & Chronicle
Attached To Military Agent;Asia Directory & Chronicle
Attorney;Asia Directory & Chronicle
Attorney and Counsellor-at-Law;Asia Directory & Chronicle
Attorney General;Asia Directory & Chronicle
Attorney-at Law;Asia Directory & Chronicle
Auctioneer;Asia Directory & Chronicle
Auctioneer and Broker;Asia Directory & Chronicle
Auctioneer and Commission Agent;Asia Directory & Chronicle
Auctioneer and Commission Merchant;Asia Directory & Chronicle
Auctioneer and Printer;Asia Directory & Chronicle
Auctioneer and Proprietor;Asia Directory & Chronicle
Auctioneer Managing Director;Asia Directory & Chronicle
Audit Department;Asia Directory & Chronicle
Audit Secretary;Asia Directory & Chronicle
Auditor-General;Asia Directory & Chronicle
Aufseher;Asia Directory & Chronicle
Aumonier;Asia Directory & Chronicle
Aumonier des Troupes;Asia Directory & Chronicle
Austro-Hungarian Minister;Asia Directory & Chronicle
Aviation Department;Asia Directory & Chronicle
Ayudante de Campo;Asia Directory & Chronicle
Bacteriologist;Asia Directory & Chronicle
Bailiff;Asia Directory & Chronicle
Baker;Asia Directory & Chronicle
Baker and Grocer;Asia Directory & Chronicle
Bandmaster;Asia Directory & Chronicle
Bar Manager;Asia Directory & Chronicle
Bar Superintendent;Asia Directory & Chronicle
Bar Tender;Asia Directory & Chronicle
Barber and Hairdresser;Asia Directory & Chronicle
Barkeeper;Asia Directory & Chronicle
Barman;Asia Directory & Chronicle
Barrack Clerk;Asia Directory & Chronicle
Barrack Sergeant;Asia Directory & Chronicle
Barrister;Asia Directory & Chronicle
Barrister and Notary Public;Asia Directory & Chronicle
Barrister-at-Law;Asia Directory & Chronicle
Barrister-at-Law and First Clerk;Asia Directory & Chronicle
Batallion-Major;Asia Directory & Chronicle
Battery Sergeant-Major Instructor;Asia Directory & Chronicle
Bauassistent;Asia Directory & Chronicle
Belgian Consul;Asia Directory & Chronicle
Belgian Missionary;Asia Directory & Chronicle
Benedictine Monk, Rector;Asia Directory & Chronicle
Berthing Officer;Asia Directory & Chronicle
Bessemer Department;Asia Directory & Chronicle
Betriebscontroleur;Asia Directory & Chronicle
Bible Colporteur;Asia Directory & Chronicle
Bibliothecario;Asia Directory & Chronicle
Bill and Bullion Broker;Asia Directory & Chronicle
Bill and Exchange Broker;Asia Directory & Chronicle
Bill and Share Broker;Asia Directory & Chronicle
Bill Broker;Asia Directory & Chronicle
Bill Collecter;Asia Directory & Chronicle
Bill, Stock and Bullion Broker;Asia Directory & Chronicle
Billiard-Room Keeper;Asia Directory & Chronicle
Bishop;Asia Directory & Chronicle
Blacksmith;Asia Directory & Chronicle
Boar Officer;Asia Directory & Chronicle
Boarding House Keeper;Asia Directory & Chronicle
Boarding Master;Asia Directory & Chronicle
Boarding Office;Asia Directory & Chronicle
Boarding Officer;Asia Directory & Chronicle
Boat Officer;Asia Directory & Chronicle
Boat Officer In Charge;Asia Directory & Chronicle
Boatswain;Asia Directory & Chronicle
Boiler Foreman;Asia Directory & Chronicle
Boiler House Superintendent;Asia Directory & Chronicle
Boiler Inspector;Asia Directory & Chronicle
Boilermaker;Asia Directory & Chronicle
Bookkeeper;Asia Directory & Chronicle
Bookseller;Asia Directory & Chronicle
Borer;Asia Directory & Chronicle
Boring Engineer;Asia Directory & Chronicle
Boring Master;Asia Directory & Chronicle
Bowling-Alley Keeper;Asia Directory & Chronicle
Bpanisa Missionary;Asia Directory & Chronicle
Brakesman;Asia Directory & Chronicle
Branch Agent;Asia Directory & Chronicle
Branch Manager;Asia Directory & Chronicle
Brassfinisher;Asia Directory & Chronicle
Brevet-Major;Asia Directory & Chronicle
Brewer;Asia Directory & Chronicle
Brewing Adviser;Asia Directory & Chronicle
Brewmaster;Asia Directory & Chronicle
Bridge Erector;Asia Directory & Chronicle
Brigade Major;Asia Directory & Chronicle
Brigade Signaling Officer;Asia Directory & Chronicle
Consulate;Asia Directory & Chronicle
Minister Plenipotentiary;Asia Directory & Chronicle
Postal Agent;Asia Directory & Chronicle
Postal Agent and Superintendent Clerk;Asia Directory & Chronicle
Postmaster;Asia Directory & Chronicle
Broker;Asia Directory & Chronicle
Broker and Auctioneer;
Broker and Commission Agent;Asia Directory & Chronicle
Broker and General Agent;
Broker and General Manager;Asia Directory & Chronicle
Broker and Governement Auctioneer;Asia Directory & Chronicle
Broker and Government Auctioneer;Asia Directory & Chronicle
Broker and Merchant;Asia Directory & Chronicle
Broker and Secretary;Asia Directory & Chronicle
Broker, Director;
Brokerbroker and Governement Auctioneer;Asia Directory & Chronicle
Brokers, Accountants;Asia Directory & Chronicle
Builder and Contractor;Asia Directory & Chronicle
Builder and House Furnisher;Asia Directory & Chronicle
Building Contractor;Asia Directory & Chronicle
Building Overseer;Asia Directory & Chronicle
Building Superintendent;Asia Directory & Chronicle
Building Surveyor;Asia Directory & Chronicle
Bullion Broker;Asia Directory & Chronicle
Bureau Assistant;Asia Directory & Chronicle
Burner;Asia Directory & Chronicle
Bursar and Secretary;Asia Directory & Chronicle
Business Manager;Asia Directory & Chronicle
Business Secretary and Treasurer;Asia Directory & Chronicle
Butcher;Asia Directory & Chronicle
Cabinet Maker;Asia Directory & Chronicle
Cadet Engineer;Asia Directory & Chronicle
Cadet Officer;Asia Directory & Chronicle
Caissier;Asia Directory & Chronicle
Caixeiro;Asia Directory & Chronicle
Canon;Asia Directory & Chronicle
Cant.-Lieutenant;Asia Directory & Chronicle
Capellão;Asia Directory & Chronicle
Capitain Commandant of Police;Asia Directory & Chronicle
Capitaine d’Armes;Asia Directory & Chronicle
Capitan de Infanteria;Asia Directory & Chronicle
Capitan Medico;Asia Directory & Chronicle
Capitando;Asia Directory & Chronicle
Capitao;Asia Directory & Chronicle
Capitao d'Artilheria;Asia Directory & Chronicle
Capitao do Porto;Asia Directory & Chronicle
Capitao do Porto E Commandante Estação Naval;Asia Directory & Chronicle
Captain Commandant;Asia Directory & Chronicle
Captain Commanding;Asia Directory & Chronicle
Captain Commissariat Officer;Asia Directory & Chronicle
Captain Lightship;Asia Directory & Chronicle
Captain Marine Artillery;Asia Directory & Chronicle
Captain of Marines;Asia Directory & Chronicle
Captain of Police;Asia Directory & Chronicle
Captain of the Lightship;Asia Directory & Chronicle
Captain Superintendent;Asia Directory & Chronicle
Captain Superintendent of Police;Asia Directory & Chronicle
Captain-Lieutenant;Asia Directory & Chronicle
Car Shed Superintendent;Asia Directory & Chronicle
Carcereiro;Asia Directory & Chronicle
Carder;Asia Directory & Chronicle
Carding Master;Asia Directory & Chronicle
Caretaker;Asia Directory & Chronicle
Cargo Inspector;Asia Directory & Chronicle
Cargo Superintendent;Asia Directory & Chronicle
Cargo-Boat Inspector;Asia Directory & Chronicle
Cashier;Asia Directory & Chronicle
Cashier Accountant;Asia Directory & Chronicle
Cathedral Representative;Asia Directory & Chronicle
Chanceiier;Asia Directory & Chronicle
Chancelier;Asia Directory & Chronicle
Chancelier and Interpreter;Asia Directory & Chronicle
Chancelier Substitue;Asia Directory & Chronicle
Chancelier Substitut;Asia Directory & Chronicle
Chancelier Substitute;Asia Directory & Chronicle
Chancelier-Archivist;Asia Directory & Chronicle
Chancellor-Interpreter;Asia Directory & Chronicle
Chancelor;Asia Directory & Chronicle
Chantre;Asia Directory & Chronicle
Chantre-Presidente;Asia Directory & Chronicle
Chaplain;Asia Directory & Chronicle
Charge d'Affaires;Asia Directory & Chronicle
Charge des Services Administratifs;Asia Directory & Chronicle
Charge Engineer;Asia Directory & Chronicle
Chargeman;Asia Directory & Chronicle
Chargeman of Boilermakers;Asia Directory & Chronicle
Chargeman of Carpenters;Asia Directory & Chronicle
Chargeman of Fitters;Asia Directory & Chronicle
Chargeman of Plumbers;Asia Directory & Chronicle
Chargeman of Smiths;Asia Directory & Chronicle
Chartered Accountant;Asia Directory & Chronicle
Chartered Sectretary;Asia Directory & Chronicle
Chat-Genian Coppersmith;Asia Directory & Chronicle
Chef;Asia Directory & Chronicle
Chef Comptable;Asia Directory & Chronicle
Chef D'Usine;Asia Directory & Chronicle
Chef de Brigade;Asia Directory & Chronicle
Chef de Comptabilite;Asia Directory & Chronicle
Chef de Comptabilité;Asia Directory & Chronicle
Chef de Cuisine;Asia Directory & Chronicle
Chef de la Garde;Asia Directory & Chronicle
Chef de la Police;Asia Directory & Chronicle
Chef de Police;Asia Directory & Chronicle
Chef de Section;Asia Directory & Chronicle
Chef de Service;Asia Directory & Chronicle
Chef des Infirmeries;Asia Directory & Chronicle
Chef des Stabes;Asia Directory & Chronicle
Chef du Service;Asia Directory & Chronicle
Chef du Service de L’Artillerie;Asia Directory & Chronicle
Chef du Service de Santé;Asia Directory & Chronicle
Chef Hauptmann;Asia Directory & Chronicle
Chef Jardinier;Asia Directory & Chronicle
Chefe;Asia Directory & Chronicle
Chefe de Secão;Asia Directory & Chronicle
Chefe de Seçao;Asia Directory & Chronicle
Chemical Engineer;Asia Directory & Chronicle
Chemist;Asia Directory & Chronicle
Chemist and Druggist;Asia Directory & Chronicle
Chemistry Lecturer;Asia Directory & Chronicle
Chief Accountant and Secretary;Asia Directory & Chronicle
Chief Agent;Asia Directory & Chronicle
Chief Appraiser;Asia Directory & Chronicle
Chief Architect Fit Acting Manager;Asia Directory & Chronicle
Chief Architectural Assistant;Asia Directory & Chronicle
Chief Army Ordnance Officer;Asia Directory & Chronicle
Chief Artificer;Asia Directory & Chronicle
Chief Assistant;Asia Directory & Chronicle
Chief Assistant Engineer;Asia Directory & Chronicle
Chief Assistant of the Commandant of the Port;Asia Directory & Chronicle
Chief Assistant To Commandant-in-Chief;Asia Directory & Chronicle
Chief Auditor;Asia Directory & Chronicle
Chief Boatswain;Asia Directory & Chronicle
Chief Bookkeeper;Asia Directory & Chronicle
Chief Carpenter;Asia Directory & Chronicle
Chief Cashier;Asia Directory & Chronicle
Chief Cavalry Instructor;Asia Directory & Chronicle
Chief Chancellor;Asia Directory & Chronicle
Chief Chemist;Asia Directory & Chronicle
Chief Chinese Interpreter;Asia Directory & Chronicle
Chief Civil Engineer;Asia Directory & Chronicle
Chief Clerk;Asia Directory & Chronicle
Chief Clerk and Private Secretary;Asia Directory & Chronicle
Chief Clerk To the Colonial Secretary'S Office;Asia Directory & Chronicle
Chief Clerk, Quartermaster Office;Asia Directory & Chronicle
Chief Coiner;Asia Directory & Chronicle
Chief Constable;Asia Directory & Chronicle
Chief Constables;Asia Directory & Chronicle
Chief Constructor;Asia Directory & Chronicle
Chief Controller;Asia Directory & Chronicle
Chief de la Garde;Asia Directory & Chronicle
Chief Detective Inspector;Asia Directory & Chronicle
Chief Detective Inspector of Police;Asia Directory & Chronicle
Chief Detective Police Inspector;Asia Directory & Chronicle
Chief Director;Asia Directory & Chronicle
Chief Distiller;Asia Directory & Chronicle
Chief Draftsman;Asia Directory & Chronicle
Chief Draughtsman;Asia Directory & Chronicle
Chief Draughtsman Locomotive Department;Asia Directory & Chronicle
Chief Editorial Writer;Asia Directory & Chronicle
Chief Electrical Assistant;Asia Directory & Chronicle
Chief Electrician;Asia Directory & Chronicle
Chief Engine Room Artificer;Asia Directory & Chronicle
Chief Engineer and General Engineer;Asia Directory & Chronicle
Chief Engineer and Manager;Asia Directory & Chronicle
Chief Engineer Draughtsman;Asia Directory & Chronicle
Chief Engraver;Asia Directory & Chronicle
Chief Examiner;Asia Directory & Chronicle
Chief Excise Officer;Asia Directory & Chronicle
Chief Foreman;Asia Directory & Chronicle
Chief Foreman Engineer;Asia Directory & Chronicle
Chief Guard;Asia Directory & Chronicle
Chief Health Inspector;Asia Directory & Chronicle
Chief Inspector;Asia Directory & Chronicle
Chief Inspector of Nuisances;Asia Directory & Chronicle
Chief Inspector of Police;Asia Directory & Chronicle
Chief Instructor of Band;Asia Directory & Chronicle
Chief Instructor of Engineering;Asia Directory & Chronicle
Chief Interpreter;Asia Directory & Chronicle
Chief Interpreter and Secretary;Asia Directory & Chronicle
Chief Interpreter Retired;Asia Directory & Chronicle
Chief Judge;Asia Directory & Chronicle
Chief Lightkceper;Asia Directory & Chronicle
Chief Lightkeeper;Asia Directory & Chronicle
Chief Manager;Asia Directory & Chronicle
Chief Mate;Asia Directory & Chronicle
Chief Mechanic;Asia Directory & Chronicle
Chief Mechanical Engineer;Asia Directory & Chronicle
Chief Mechanician;Asia Directory & Chronicle
Chief Mining Engineer;Asia Directory & Chronicle
Chief Naval Engineer;Asia Directory & Chronicle
Chief of Artillery;Asia Directory & Chronicle
Chief of Commissariat;Asia Directory & Chronicle
Chief of Commissariat Department;Asia Directory & Chronicle
Chief of Division;Asia Directory & Chronicle
Chief of Drawing Office;Asia Directory & Chronicle
Chief of Eastern Police Station;Asia Directory & Chronicle
Chief of Engineers;Asia Directory & Chronicle
Chief of Fortes;Asia Directory & Chronicle
Chief of Fortifications;Asia Directory & Chronicle
Chief of Guard;Asia Directory & Chronicle
Chief of Lands;Asia Directory & Chronicle
Chief of Military Staff;Asia Directory & Chronicle
Chief of Mortuary;Asia Directory & Chronicle
Chief of Police and Constable;Asia Directory & Chronicle
Chief of the Civil Medical Department;Asia Directory & Chronicle
Chief of the Controlling Department;Asia Directory & Chronicle
Chief of the Forts;Asia Directory & Chronicle
Chief of the Marine Medical Department;Asia Directory & Chronicle
Chief of Tractions;Asia Directory & Chronicle
Chief of Traffic;Asia Directory & Chronicle
Chief of Troops;Asia Directory & Chronicle
Chief Officer;Asia Directory & Chronicle
Chief Ordnance;Asia Directory & Chronicle
Chief Ordnance Mechanical Engineer;Asia Directory & Chronicle
Chief Ordnance Officer;Asia Directory & Chronicle
Chief Overman;Asia Directory & Chronicle
Chief Paymaster Clerk;Asia Directory & Chronicle
Chief Pilot;Asia Directory & Chronicle
Chief Preventive Officer;Asia Directory & Chronicle
Chief Radio Electrician;Asia Directory & Chronicle
Chief Reporter;Asia Directory & Chronicle
Chief Secretary and Accountant;Asia Directory & Chronicle
Chief Ship Draughtsman;Asia Directory & Chronicle
Chief Storekeeper;Asia Directory & Chronicle
Chief Sugar Boiler;Asia Directory & Chronicle
Chief Superintendent;Asia Directory & Chronicle
Chief Superior and Commander In Chief of Troops;Asia Directory & Chronicle
Chief Superitnendent;Asia Directory & Chronicle
Chief Surgeon;Asia Directory & Chronicle
Chief Surveying Assistant;Asia Directory & Chronicle
Chief Surveyor;Asia Directory & Chronicle
Chief Tide Surveyor;Asia Directory & Chronicle
Chief Tide Surveyor and Harbour Master;Asia Directory & Chronicle
Chief Tidewaiter;Asia Directory & Chronicle
Chief Time-Keeper;Asia Directory & Chronicle
Chief Traffic Inspector;Asia Directory & Chronicle
Chief Usher;Asia Directory & Chronicle
Chief Ward Master;Asia Directory & Chronicle
Chief Warder;Asia Directory & Chronicle
Chief Wardmaster;Asia Directory & Chronicle
Chief Writer;Asia Directory & Chronicle
China Manager;Asia Directory & Chronicle
China Representative;Asia Directory & Chronicle
Chinese Art Dealer;Asia Directory & Chronicle
Chinese Emigration Agent;Asia Directory & Chronicle
Chinese Maritime Custom (Inspectorate General);Asia Directory & Chronicle
Chinese Secretary;Asia Directory & Chronicle
Chinese Voter;Asia Directory & Chronicle
Chronometer and Watchmaker;Asia Directory & Chronicle
Chronometer Shop;Asia Directory & Chronicle
Church of England Bishop;Asia Directory & Chronicle
Church of England Mission;Asia Directory & Chronicle
Church Or England Missionary;Asia Directory & Chronicle
Cigar Merchant;Asia Directory & Chronicle
Circulation Department;Asia Directory & Chronicle
Circulation Manager;Asia Directory & Chronicle
City Editor;Asia Directory & Chronicle
City Judge;Asia Directory & Chronicle
Civil Engineer;Asia Directory & Chronicle
Civil Engineer and Architect;Asia Directory & Chronicle
Civil Engineer and Importer;Asia Directory & Chronicle
Civil Engineer, Architect and Surveyor;Asia Directory & Chronicle
Civil Engineer, Surveyor In Chief;Asia Directory & Chronicle
Civil Governor;Asia Directory & Chronicle
Civil Servant;Asia Directory & Chronicle
Civil Service Clerk;Asia Directory & Chronicle
Civil Surgeon;Asia Directory & Chronicle
Civil Surgeon Attached;Asia Directory & Chronicle
Civil Worker;Asia Directory & Chronicle
Civilian Artificer;Asia Directory & Chronicle
Claim Agent;Asia Directory & Chronicle
Cleric;Asia Directory & Chronicle
Clerical Assistant;Asia Directory & Chronicle
Clerical Officer;Asia Directory & Chronicle
Clerk and Draftsman;Asia Directory & Chronicle
Clerk and Draughtsman;Asia Directory & Chronicle
Clerk and Linguist;Asia Directory & Chronicle
Clerk and Notary Public;Asia Directory & Chronicle
