ID_ROW;Street_Srce;Street_zhS;Street_PINYIN;Street_SUFFIX_Py;Street_Eng;FOREIGN_SETTLEMENT;Street_Eng_SUFFIX;Year_START;Year_END;Year_END_PRC;Street_New_ZhT;Street_New_ZhT_SUFFIX;Street_New_ZhS;Street_New_SUFFIX;Street_New_full;Street_New_PINYIN;Street_New_SUFFIX_Py;LOCALIZATION_INDICATOR;DISTRICT;PERIOD;Street_Eng_full;NOTES;Dating_qualifier;Source
360;勞勃生路;劳勃生路;LAOBOSHENG;LU;ROBISON;International Settlement;ROAD;1900;1943;;長壽;路;长寿;路;长寿路;CHANGSHOU;LU;;普陀、静安区;1900-1943;ROBISON ROAD;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
226;勞合路;劳合路;LAOHE;LU;LLOYD;International Settlement;ROAD;1871;1943;;六合;路;六合;路;六合路;LIUHE;LU;;黄浦区;1871-1943;LLOYD ROAD;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
231;勞爾登路;劳尔登路;LAO'ERDENG;LU;LORTON (L.);French Concession;RUE;1918;1943;;襄陽;北路;襄阳;北路;襄阳北路;XIANGYANG;BEILU;;徐汇区;1918-1943;RUE L.LORTON;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
324;勞神父路;劳神父路;LAOSHENFU;LU;PERE FROC;French Concession;RUE;1922;1943;;合肥;路;合肥;路;合肥路;HEFEI;LU;;卢湾区;1931-1946;RUE DU PERE FROC;;;
1070;化子街;化子街;HUAZI;JIE;;;;;;;平定;路;平定;路;平定路;PINGDING;LU;;杨浦区;;;;;
1581;北一條通;北一条通;BEIYITIAO ;TONG;;;;1939;1940;;民獻（已廢）;路;民献（已废）;路;民献路（已废）;MINXIAN;LU;;杨浦区;1939-1940;;;;
931;北一路;北一路;BEIYI;LU;;;;;;;漠河;路;漠河;路;漠河路;MOHE;LU;;吴淞区;;;;;
1358;北三條通;北三条通;BEISANTIAO;TONG;;;;1939;1940;;民壯;路;民壮;路;民壮路;MINZHUANG;LU;;杨浦区;1939-1940;;;;
1282;北二條通;北二条通;BEIERTIAO;TONG;;;;1939;1940;;民府;路;民府;路;民府路;MINFU;LU;;杨浦区;1939-1940;;;;
1093;北二路;北二路;BEI'ER;LU;;;;;;;盤古;路;盘古;路;盘古路;PANGU;LU;;吴淞区;;;;;
952;北五條通;北五条通;BEIWUTIAO;T;;;;1939;1940;;民約;路;民约;路;民约路;MINYUE;LU;;杨浦区;1939-1940;;;;
1241;北京路;北京路;BEIJING;LU;;;;1865;1943;2006;北京;東路;北京;东路;北京东路;BEIJING;DONGLU;;黄浦区;1865-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1626;北公益路;北公益路;BEIGONGYI;LU;;;;1910;1914;;蒙古;路;蒙古;路;蒙古路;MENGGU;LU;;闸北区;约1910-1914;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1079;北六條通;北六条通;BEILIUTIAO;TONG;;;;1939;1940;;民慶;路;民庆;路;民庆路;MINQING;LU;;杨浦区;1939-1940;;;;
637;北吉祥弄;北吉祥弄;BEIJIXIANG;LONG;;;;;;;中山;南路;中山;南路;中山南路（东段）;ZHONGSHAN;NANLU;DONGDUAN;南市区;;;;;
929;北吉祥弄;北吉祥弄;BEIJIXIANG;LONG;;;;;;;白渡;路;白渡;路;白渡路北;BAIDU;LU;;南市区;;河南路至福建路段，名宝善街;;;
1222;北四川路;北四川路;BEISICHUAN;LU;NORTH SZECHUEN;International Settlement;ROAD;1916;1943;2006;四川;北路;四川;北路;四川北路;SICHUAN;BEILU;;虹口区;1930-1916-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1281;北四條通;北四条通;BEISITIAO;TONG;;;;1939;1940;;民彝;路;民彝;路;民彝路;MINYI;LU;;杨浦区;1939-1940;;;;
1234;北堤路;北堤路;BEITI;LU;;;;;1943;;北瞿;路;北瞿;路;北瞿路;BEIQULU;LU;;长宁区、上海县;-1943;;;;
1375;北山東通;北山东通;BEISHANDONG;TONG;;;;1943;1943;;山東;北路;山东;北路;山东北路;SHANGDONG;BEILU;;黄浦区;1943-1945;;;;
294;北山西路;北山西路;BEISHANXI;LU;NORTH SHANSE;International Settlement;ROAD;1887;1943;2006;山西;北路;山西;北路;山西北路;SHANXI;BEILU;;闸北区;1887-1943;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1459;北廟路;北庙路;BEIMIAO;LU;;;;1928;1956;;新閔;路;新闵;路;新闵路;XINMIN;LU;;闵行区;1928-1956;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1580;北成都路;北成都路;BEICHENGDU;LU;;;;1915;1943;2006;成都;北路;成都;北路;成都北路（北段）;CHENGDU ;BEILU;BEIDUAN;黄浦、静安区;1915-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
