Discipline_ZhS_Srce,Discipline_ZhT_Srce,Discipline_Level2,Discipline_Level2_Strd,Discipline_Level1,Discipline_Level1_Strd,Discipline_Level0,Discipline_Level0_ZhT,Level1_code,,,,
森林,森林,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
,森林學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
森林学系,森林學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
森林学院森林系,森林學院森林系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
森林科,森林科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
森林系,森林系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
,漁撈,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
理学院化工系转农学院农经系,理學院化工系轉農學院農經系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
理学院数学系转农学院农业工程系,理學院數學系轉農學院農業工程系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
理学院物理系？农学院农艺系？,理學院物理系？農學院農藝系？,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧,畜牧,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧学系,畜牧學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧学系一年级,畜牧學系一年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧学系四年级,畜牧學系四年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧科,畜牧科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧科一年级,畜牧科一年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧系,畜牧系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
畜牧系一年级,畜牧系一年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
研究科农学科,研究科農學科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
研究院农研所学系土壤部,研究院農研所學系土壤部,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
蠢桑学系,蠢桑學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
蚕桑,蠶桑,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
蚕桑学系,蠶桑學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
蚕桑系,蠶桑系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农,農,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农_园艺,農_園藝,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农_森林,農_森林,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农_农经,農_農經,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农，园艺,農，園藝,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农，农艺,農，農藝,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农事组，1年级，1学期半,農事組，1年級，1學期半,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农化,農化,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农化系,農化系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农化系制造组,農化系制造組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农垦学系,農墾學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学,農學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学学系,農學學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学研究所,農學研究所,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学科,農學科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学系,農學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学艺,農學藝,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学蚕桑学,農學蠶桑學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院,農學院,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
